Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер Robotcomp Анаконда Plus Pink,0.0,0.0,96 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-plus-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,50 см,23 см,39 см,9 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 Pink,0.0,0.0,94 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v2-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,50 см,23 см,39 см,9 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 Plus Pink,0.0,0.0,100 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v2-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,50 см,23 см,39 см,9 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 Pink,0.0,0.0,100 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v3-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,50 см,23 см,39 см,9 кг,,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 Plus Pink,0.0,0.0,105 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v3-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,50 см,23 см,39 см,9 кг,,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 White,0.0,0.0,115 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-white/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 Plus White,0.0,0.0,121 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-plus-white/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 White,0.0,0.0,119 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v2-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 Plus White,0.0,0.0,125 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v2-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 White,0.0,0.0,124 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v3-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 Plus White,0.0,0.0,130 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v3-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 Pink,0.0,0.0,115 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,45 см,21 см,46 см,8 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 Plus Pink,0.0,0.0,121 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-plus-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,45 см,21 см,46 см,8 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 Pink,0.0,0.0,119 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v2-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,45 см,21 см,46 см,8 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 Plus Pink,0.0,0.0,125 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v2-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,45 см,21 см,46 см,8 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 Pink,0.0,0.0,124 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v3-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,45 см,21 см,46 см,8 кг,,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 Plus Pink,0.0,0.0,130 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-2-0-v3-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,45 см,21 см,46 см,8 кг,,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 White,0.0,0.0,143 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-white/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 Plus White,0.0,0.0,155 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-plus-white/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V2 White,0.0,0.0,158 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v2-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V2 Plus White,0.0,0.0,158 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v2-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 White,0.0,0.0,153 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v3-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 Plus White,0.0,0.0,164 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v3-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 Pink,0.0,0.0,143 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,750 Вт,45 см,21 см,46 см,10 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 Plus Pink,0.0,0.0,155 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-plus-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,750 Вт,45 см,21 см,46 см,10 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V2 Pink,0.0,0.0,147 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v2-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,750 Вт,45 см,21 см,46 см,10 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V2 Plus Pink,0.0,0.0,158 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v2-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,750 Вт,45 см,21 см,46 см,10 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 Pink,0.0,0.0,153 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v3-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,750 Вт,45 см,21 см,46 см,10 кг,,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 Plus Pink,0.0,0.0,164 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-3-0-v3-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,750 Вт,45 см,21 см,46 см,10 кг,,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0,0.0,0.0,31 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-mini-2-0/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 Plus,0.0,0.0,37 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-mini-2-0-plus/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V2,0.0,0.0,35 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-mini-2-0-v2/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V2 Plus,0.0,0.0,40 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-mini-2-0-v2-plus/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V3,0.0,0.0,40 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-mini-2-0-v3/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V3 Plus,0.0,0.0,46 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-mini-2-0-v3-plus/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Power,0.0,0.0,31 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-power/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Plus Power,0.0,0.0,37 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-plus-power/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V2 Power,0.0,0.0,35 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v2-power/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V2 Plus Power,0.0,0.0,41 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v2-plus-power/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V3 Power,0.0,0.0,40 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v3-power/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V3 Plus Power,0.0,0.0,46 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v3-plus-power/,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
